total_length_out,total_length_in,avg_packet_length_out,avg_packet_length_in,avg_duration_out,avg_duration_in,total_duration
2256,23635,752,1390.294118,0.001492,2.19412E-05,0.004849
916,14226,130.8571429,1094.307692,8.47143E-05,0.000131385,0.002301
0,25419,0,1270.95,0,0.00003645,0.000729
0,28000,0,1400,0,0.0000304,0.000608
0,28000,0,1400,0,0.0000191,0.000382
833,7087,59.5,1181.166667,0.000561357,0.000111833,0.00853
1635,52,86.05263158,52,0.000506053,0.000715,0.01033
1040,0,52,0,0.0000263,0,0.000526
520,14000,52,1400,0.0000325,0.0000348,0.000673
0,28000,0,1400,0,0.00002635,0.000527
312,19600,52,1400,2.41667E-05,1.32143E-05,0.00033
104,25200,52,1400,0.0000125,3.10556E-05,25200
312,19185,52,1370.357143,0.001794,3.17143E-05,0.011208
988,126,52,126,1.97895E-05,0.000001,0.000377
1040,0,52,0,0.00047915,0,0.009583
1040,0,52,0,0.00004885,0,0.000977
1040,0,52,0,0.00004095,0,0.000819
936,364,52,182,0.000225667,0.0012185,0.006499
1350,17631,270,1175.4,0.009026,0.000151667,0.047405
260,19618,52,1307.866667,0.0013768,2.06667E-05,0.007194
1040,0,52,0,0.00032665,0,0.006533
260,17868,52,1191.2,0.0000282,0.0004496,0.006885
104,20883,52,1160.166667,0.001297,1.91667E-05,0.002939
1040,0,52,0,0.00038545,0,0.007709
468,9316,52,846.9090909,0.001572333,0.003209455,0.049455
927,3851,61.8,770.2,0.000741133,0.0000226,0.01123
208,12481,52,780.0625,0.0006435,0.0001905,0.005622
1006,2813,111.7777778,255.7272727,0.006982667,0.008673909,0.158257
699,3125,87.375,260.4166667,0.01123575,0.0290245,0.43818
1213,6172,121.3,617.2,0.2507207,0.0239876,2.747083
1792,1256,149.3333333,157,1.1366105,0.1538825,14.870386
1165,835,89.61538462,119.2857143,25.02239031,0.000594714,325.295237
9293,937,774.4166667,117.125,0.001676333,0.000252125,0.022133
19600,312,1400,52,0.000325786,0.000235,0.005971
16800,416,1400,52,0.000640167,0.00013925,0.008796
21000,260,1400,52,0.0001212,0.00021,0.002868
10544,1017,1054.4,101.7,0.003297,0.0056969,0.089939
19870,260,1324.666667,52,0.000106667,0.0001706,0.002453
6939,762,693.9,84.66666667,0.005903,0.001159444,0.069519
1738,4278,193.1111111,388.9090909,0.528121444,0.027468,5.055241
646,550,64.6,55,0.0072229,6.4750971,64.8232
5257,898,438.0833333,112.25,4.161388667,0.0006155,49.941588
