Source,Destination,Protocol,Length,Type,Duration,Label
443,33952,3,125,1,0.000001,Benign
443,33952,1,1400,1,0.000096,Benign
443,33952,3,1400,1,0.000003,Benign
443,33952,1,1400,1,0.000001,Benign
443,33952,3,1400,1,0.000002,Benign
443,33952,1,1400,1,0.000001,Benign
443,33952,1,1400,1,0.000098,Benign
443,33952,3,167,1,0.000003,Benign
443,33952,1,1400,1,0.000009,Benign
443,33952,3,1400,1,0.000002,Benign
443,33952,1,1400,1,0.000001,Benign
443,33952,3,125,1,0.000001,Benign
33952,443,1,52,0,0.000065,Benign
33952,443,1,52,0,0.000032,Benign
443,33952,1,1400,1,0.000069,Benign
443,33952,3,1190,1,0.000002,Benign
443,33952,1,1400,1,0.000007,Benign
443,33952,3,126,1,0.000002,Benign
33952,443,1,52,0,0.000589,Benign
33952,443,1,52,0,0.000238,Benign
33952,443,1,52,0,0.000044,Benign
33952,443,1,52,0,0.000028,Benign
33952,443,1,52,0,0.000025,Benign
33952,443,1,52,0,0.001879,Benign
33952,443,1,52,0,0.000929,Benign
33952,443,1,52,0,0.000468,Benign
33952,443,1,52,0,0.000032,Benign
33952,443,1,52,0,0.000031,Benign
33952,443,1,52,0,0.007664,Benign
33952,443,1,52,0,0.000056,Benign
33952,443,1,52,0,0.000295,Benign
33952,443,1,52,0,0.000054,Benign
33952,443,1,52,0,0.000322,Benign
33952,443,1,52,0,0.000058,Benign
33952,443,1,52,0,0.000032,Benign
33952,443,1,52,0,0.000029,Benign
33952,443,1,52,0,0.000029,Benign
33952,443,1,52,0,0.000028,Benign
33952,443,1,52,0,0.000029,Benign
33952,443,1,52,0,0.000168,Benign
33952,443,1,52,0,0.000055,Benign
33952,443,1,52,0,0.000033,Benign
33952,443,1,52,0,0.000032,Benign
33952,443,1,52,0,0.000032,Benign
33952,443,1,52,0,0.000657,Benign
33952,443,1,52,0,0.000055,Benign
33952,443,1,52,0,0.000036,Benign
33952,443,1,52,0,0.000033,Benign
33952,443,1,52,0,0.000029,Benign
33952,443,3,274,0,0.007988,Benign
443,33952,1,52,1,0.000718,Benign
443,33952,3,1400,1,0.001629,Benign
443,33952,3,1400,1,0.000046,Benign
443,33952,3,444,1,0.000004,Benign
33952,443,1,52,0,0.001456,Benign
33952,443,1,52,0,0.000055,Benign
33952,443,1,52,0,0.000041,Benign
33952,443,3,116,0,0.002654,Benign
443,33952,3,238,1,0.000813,Benign
33952,443,1,60,0,0.006206,Benign
33952,443,3,571,0,0.000081,Benign
443,33952,1,60,1,0.000779,Benign
443,33952,3,627,1,0.000377,Benign
443,33952,1,1400,1,0.000025,Benign
443,33952,1,1400,1,0.000002,Benign
443,33952,1,1400,1,0.000001,Benign
443,33952,3,319,1,0.000006,Benign
443,33952,1,1400,1,0.000007,Benign
443,33952,3,126,1,0.000002,Benign
33952,443,1,52,0,0.000958,Benign
33952,443,3,116,0,0.000053,Benign
33952,443,1,52,0,0.000037,Benign
33952,443,3,570,0,0.000301,Benign
33952,443,1,52,0,0.000048,Benign
443,33952,3,238,1,0.000639,Benign
443,33952,3,628,1,0.00043,Benign
443,33952,1,1400,1,0.00006,Benign
443,33952,1,1400,1,0.000003,Benign
443,33952,1,1400,1,0.000002,Benign
443,33952,3,1225,1,0.000002,Benign
443,33952,1,1400,1,0.000008,Benign
443,33952,3,126,1,0.000001,Benign
33952,443,1,52,0,0.000213,Benign
33952,443,1,52,0,0.000853,Benign
33952,443,1,52,0,0.000464,Benign
33952,443,1,52,0,0.000462,Benign
33952,443,1,60,0,0.010047,Benign
443,33952,1,60,1,0.000795,Benign
33952,443,1,52,0,0.00102,Benign
33952,443,3,464,0,0.000554,Benign
33952,443,3,577,0,0.000329,Benign
443,33952,1,52,1,0.00043,Benign
443,33952,1,52,1,0.00031,Benign
443,33952,3,274,1,0.000437,Benign
443,33952,3,627,1,0.000421,Benign
33952,443,1,52,0,0.000723,Benign
443,33952,1,1400,1,0.000048,Benign
443,33952,1,1400,1,0.00001,Benign
443,33952,1,54,1,0.000032,Benign
443,33952,1,1400,1,0.00001,Benign
443,33952,3,126,1,0.000001,Benign
33952,443,1,52,0,0.000346,Benign
33952,443,1,52,0,0.000821,Benign
33952,443,1,52,0,0.000049,Benign
33952,443,1,52,0,0.00178,Benign
33952,443,1,64,0,0.00005,Benign
33952,443,1,64,0,0.000047,Benign
33952,443,3,464,0,0.003358,Benign
443,33952,1,52,1,0.000727,Benign
33952,443,3,575,0,0.000066,Benign
443,33952,3,274,1,0.000489,Benign
443,33952,1,1109,1,0.000045,Benign
443,33952,3,626,1,0.000466,Benign
33952,443,3,148,0,0.000076,Benign
33952,443,1,52,0,0.000353,Benign
33952,443,1,52,0,0.000057,Benign
443,33952,1,1400,1,0.000279,Benign
443,33952,1,1400,1,0.000009,Benign
443,33952,1,1400,1,0.000002,Benign
443,33952,1,55,1,0.000031,Benign
443,33952,1,1400,1,0.00001,Benign
443,33952,3,126,1,0.000002,Benign
443,33952,3,223,1,0.000022,Benign
33952,443,1,52,0,0.000011,Benign
33952,443,1,52,0,0.001433,Benign
33952,443,1,52,0,0.000057,Benign
33952,443,1,52,0,0.000033,Benign
33952,443,1,52,0,0.000447,Benign
33952,443,1,64,0,0.000056,Benign
33952,443,1,64,0,0.000168,Benign
33952,443,1,52,0,0.000056,Benign
33952,443,3,148,0,0.000765,Benign
443,33952,3,223,1,0.000736,Benign
33952,443,1,64,0,0.001,Benign
443,33952,1,739,1,0.00068,Benign
33952,443,1,52,0,0.00105,Benign
33952,443,1,52,0,0.007581,Benign
33952,443,1,52,0,0.000057,Benign
33952,443,1,60,0,0.020178,Benign
443,33952,1,60,1,0.000803,Benign
33952,443,1,52,0,0.001265,Benign
33952,443,3,439,0,0.001596,Benign
33952,443,3,162,0,0.000411,Benign
443,33952,1,52,1,0.000305,Benign
443,33952,1,52,1,0.000353,Benign
443,33952,3,268,1,0.000051,Benign
443,33952,3,126,1,0.00004,Benign
443,33952,3,83,1,0.000052,Benign
33952,443,1,52,0,0.00092,Benign
33952,443,1,52,0,0.000055,Benign
33952,443,1,52,0,0.000032,Benign
33952,443,3,136,0,0.000915,Benign
443,33952,3,217,1,0.000702,Benign
33952,443,1,1400,0,0.000029,Benign
33952,443,3,774,0,0.000298,Benign
443,33952,1,52,1,0.000691,Benign
443,33952,3,87,1,0.000279,Benign
33952,443,1,52,0,0.001011,Benign
443,33952,3,419,1,0.052694,Benign
443,33952,3,146,1,0.00001,Benign
33952,443,1,52,0,0.001923,Benign
33952,443,1,1400,0,0.517524,Benign
33952,443,3,1161,0,0.000058,Benign
443,33952,1,52,1,0.000708,Benign
443,33952,3,87,1,0.000189,Benign
33952,443,1,52,0,0.041114,Benign
443,33952,3,240,1,0.012148,Benign
443,33952,3,146,1,0.000035,Benign
33952,443,1,52,0,0.001479,Benign
33952,443,1,52,0,0.000056,Benign
33952,443,1,1400,0,0.038364,Benign
33952,443,3,725,0,0.00006,Benign
443,33952,1,52,1,0.0007,Benign
443,33952,3,87,1,0.000155,Benign
33952,443,1,52,0,0.000914,Benign
33952,443,3,710,0,0.026932,Benign
443,33952,1,52,1,0.000845,Benign
443,33952,3,87,1,0.000269,Benign
33952,443,1,52,0,0.000697,Benign
33952,443,1,1400,0,0.001706,Benign
33952,443,3,1400,0,0.000067,Benign
33952,443,1,1400,0,0.000302,Benign
443,33952,1,52,1,0.000372,Benign
33952,443,1,1400,0,0.000019,Benign
33952,443,1,1400,0,0.000309,Benign
33952,443,3,66,0,0.000062,Benign
33952,443,3,83,0,0.000283,Benign
443,33952,1,52,1,0.000051,Benign
443,33952,1,52,1,0.000347,Benign
33952,443,3,1289,0,0.010291,Benign
443,33952,1,52,1,0.000756,Benign
443,33952,3,87,1,0.000318,Benign
443,33952,3,215,1,0.009256,Benign
443,33952,3,146,1,0.000009,Benign
33952,443,1,52,0,0.001076,Benign
33952,443,1,52,0,0.000055,Benign
33952,443,3,1129,0,0.024884,Benign
443,33952,3,87,1,0.001084,Benign
33952,443,3,596,0,0.00265,Benign
443,33952,3,647,1,0.001885,Benign
443,33952,3,75,1,0.000327,Benign
443,33952,1,1400,1,0.000059,Benign
443,33952,1,1400,1,0.000003,Benign
443,33952,1,1400,1,0.000002,Benign
443,33952,3,1400,1,0.000002,Benign
443,33952,1,1400,1,0.000041,Benign
443,33952,1,1400,1,0.000002,Benign
443,33952,3,1400,1,0.000001,Benign
443,33952,1,1400,1,0.000002,Benign
443,33952,1,1400,1,0.000002,Benign
443,33952,3,1400,1,0.000207,Benign
443,33952,1,1400,1,0.000005,Benign
443,33952,1,1400,1,0.000002,Benign
443,33952,3,1400,1,0.000004,Benign
443,33952,1,1400,1,0.000002,Benign
443,33952,1,1400,1,0.000001,Benign
443,33952,3,1400,1,0.000002,Benign
443,33952,1,1400,1,0.000001,Benign
443,33952,1,1400,1,0.000002,Benign
443,33952,3,1400,1,0.000001,Benign
443,33952,1,1400,1,0.000002,Benign
443,33952,1,1400,1,0.000002,Benign
